2021-08-19 22:20:47 install libglapi-mesa:amd64 <none> 21.0.3-0ubuntu0.3~20.04.1
2021-08-19 22:20:47 status half-installed libglapi-mesa:amd64 21.0.3-0ubuntu0.3~20.04.1
2021-08-19 22:20:47 status unpacked libglapi-mesa:amd64 21.0.3-0ubuntu0.3~20.04.1
2021-08-19 22:20:47 install libllvm12:amd64 <none> 1:12.0.0-3ubuntu1~20.04.3
2021-08-19 22:20:47 status half-installed libllvm12:amd64 1:12.0.0-3ubuntu1~20.04.3
2021-08-19 22:20:49 status unpacked libllvm12:amd64 1:12.0.0-3ubuntu1~20.04.3
2021-08-19 22:20:49 install libsensors-config:all <none> 1:3.6.0-2ubuntu1
2021-08-19 22:20:49 status half-installed libsensors-config:all 1:3.6.0-2ubuntu1
2021-08-19 22:20:49 status unpacked libsensors-config:all 1:3.6.0-2ubuntu1
2021-08-19 22:20:49 install libsensors5:amd64 <none> 1:3.6.0-2ubuntu1
2021-08-19 22:20:49 status half-installed libsensors5:amd64 1:3.6.0-2ubuntu1
2021-08-19 22:20:49 status unpacked libsensors5:amd64 1:3.6.0-2ubuntu1
2021-08-19 22:20:49 install libvulkan1:amd64 <none> 1.2.131.2-1
2021-08-19 22:20:49 status half-installed libvulkan1:amd64 1.2.131.2-1
2021-08-19 22:20:49 status unpacked libvulkan1:amd64 1.2.131.2-1
2021-08-19 22:20:49 install libgl1-mesa-dri:amd64 <none> 21.0.3-0ubuntu0.3~20.04.1
2021-08-19 22:20:49 status half-installed libgl1-mesa-dri:amd64 21.0.3-0ubuntu0.3~20.04.1
2021-08-19 22:20:50 status unpacked libgl1-mesa-dri:amd64 21.0.3-0ubuntu0.3~20.04.1
2021-08-19 22:20:50 install libx11-xcb1:amd64 <none> 2:1.6.9-2ubuntu1.2
2021-08-19 22:20:50 status half-installed libx11-xcb1:amd64 2:1.6.9-2ubuntu1.2
2021-08-19 22:20:50 status unpacked libx11-xcb1:amd64 2:1.6.9-2ubuntu1.2
2021-08-19 22:20:50 install libxcb-dri2-0:amd64 <none> 1.14-2
2021-08-19 22:20:50 status half-installed libxcb-dri2-0:amd64 1.14-2
2021-08-19 22:20:50 status unpacked libxcb-dri2-0:amd64 1.14-2
2021-08-19 22:20:50 install libxcb-dri3-0:amd64 <none> 1.14-2
2021-08-19 22:20:50 status half-installed libxcb-dri3-0:amd64 1.14-2
2021-08-19 22:20:50 status unpacked libxcb-dri3-0:amd64 1.14-2
2021-08-19 22:20:50 install libxcb-glx0:amd64 <none> 1.14-2
2021-08-19 22:20:50 status half-installed libxcb-glx0:amd64 1.14-2
2021-08-19 22:20:50 status unpacked libxcb-glx0:amd64 1.14-2
2021-08-19 22:20:50 install libxcb-present0:amd64 <none> 1.14-2
2021-08-19 22:20:50 status half-installed libxcb-present0:amd64 1.14-2
2021-08-19 22:20:51 status unpacked libxcb-present0:amd64 1.14-2
2021-08-19 22:20:51 install libxcb-shm0:amd64 <none> 1.14-2
2021-08-19 22:20:51 status half-installed libxcb-shm0:amd64 1.14-2
2021-08-19 22:20:51 status unpacked libxcb-shm0:amd64 1.14-2
2021-08-19 22:20:51 install libxcb-sync1:amd64 <none> 1.14-2
2021-08-19 22:20:51 status half-installed libxcb-sync1:amd64 1.14-2
2021-08-19 22:20:51 status unpacked libxcb-sync1:amd64 1.14-2
2021-08-19 22:20:51 install libxcb-xfixes0:amd64 <none> 1.14-2
2021-08-19 22:20:51 status half-installed libxcb-xfixes0:amd64 1.14-2
2021-08-19 22:20:51 status unpacked libxcb-xfixes0:amd64 1.14-2
2021-08-19 22:20:51 install libxfixes3:amd64 <none> 1:5.0.3-2
2021-08-19 22:20:51 status half-installed libxfixes3:amd64 1:5.0.3-2
2021-08-19 22:20:51 status unpacked libxfixes3:amd64 1:5.0.3-2
2021-08-19 22:20:51 install libxshmfence1:amd64 <none> 1.3-1
2021-08-19 22:20:51 status half-installed libxshmfence1:amd64 1.3-1
2021-08-19 22:20:51 status unpacked libxshmfence1:amd64 1.3-1
2021-08-19 22:20:51 install libxxf86vm1:amd64 <none> 1:1.1.4-1build1
2021-08-19 22:20:51 status half-installed libxxf86vm1:amd64 1:1.1.4-1build1
2021-08-19 22:20:51 status unpacked libxxf86vm1:amd64 1:1.1.4-1build1
2021-08-19 22:20:51 install libglx-mesa0:amd64 <none> 21.0.3-0ubuntu0.3~20.04.1
2021-08-19 22:20:51 status half-installed libglx-mesa0:amd64 21.0.3-0ubuntu0.3~20.04.1
2021-08-19 22:20:51 status unpacked libglx-mesa0:amd64 21.0.3-0ubuntu0.3~20.04.1
2021-08-19 22:20:51 install x11-common:all <none> 1:7.7+19ubuntu14
2021-08-19 22:20:51 status half-installed x11-common:all 1:7.7+19ubuntu14
2021-08-19 22:20:51 status triggers-pending systemd:amd64 245.4-4ubuntu3.11
2021-08-19 22:20:51 status unpacked x11-common:all 1:7.7+19ubuntu14
2021-08-19 22:20:51 install libice6:amd64 <none> 2:1.0.10-0ubuntu1
2021-08-19 22:20:51 status half-installed libice6:amd64 2:1.0.10-0ubuntu1
2021-08-19 22:20:51 status unpacked libice6:amd64 2:1.0.10-0ubuntu1
2021-08-19 22:20:51 install libvorbisenc2:amd64 <none> 1.3.6-2ubuntu1
2021-08-19 22:20:51 status half-installed libvorbisenc2:amd64 1.3.6-2ubuntu1
2021-08-19 22:20:51 status unpacked libvorbisenc2:amd64 1.3.6-2ubuntu1
2021-08-19 22:20:51 install libsndfile1:amd64 <none> 1.0.28-7ubuntu0.1
2021-08-19 22:20:51 status half-installed libsndfile1:amd64 1.0.28-7ubuntu0.1
2021-08-19 22:20:51 status unpacked libsndfile1:amd64 1.0.28-7ubuntu0.1
2021-08-19 22:20:51 install libpulse0:amd64 <none> 1:13.99.1-1ubuntu3.11
2021-08-19 22:20:51 status half-installed libpulse0:amd64 1:13.99.1-1ubuntu3.11
2021-08-19 22:20:51 status unpacked libpulse0:amd64 1:13.99.1-1ubuntu3.11
2021-08-19 22:20:51 install libpulsedsp:amd64 <none> 1:13.99.1-1ubuntu3.11
2021-08-19 22:20:51 status half-installed libpulsedsp:amd64 1:13.99.1-1ubuntu3.11
2021-08-19 22:20:51 status unpacked libpulsedsp:amd64 1:13.99.1-1ubuntu3.11
2021-08-19 22:20:51 install libsm6:amd64 <none> 2:1.2.3-1
2021-08-19 22:20:51 status half-installed libsm6:amd64 2:1.2.3-1
2021-08-19 22:20:51 status unpacked libsm6:amd64 2:1.2.3-1
2021-08-19 22:20:51 install libwayland-client0:amd64 <none> 1.18.0-1
2021-08-19 22:20:51 status half-installed libwayland-client0:amd64 1.18.0-1
2021-08-19 22:20:51 status unpacked libwayland-client0:amd64 1.18.0-1
2021-08-19 22:20:51 install libxt6:amd64 <none> 1:1.1.5-1
2021-08-19 22:20:51 status half-installed libxt6:amd64 1:1.1.5-1
2021-08-19 22:20:51 status unpacked libxt6:amd64 1:1.1.5-1
2021-08-19 22:20:51 install libxmu6:amd64 <none> 2:1.1.3-0ubuntu1
2021-08-19 22:20:51 status half-installed libxmu6:amd64 2:1.1.3-0ubuntu1
